ticker,index,industry
360ONE.NS,Nifty 500,Financial Services
3MINDIA.NS,Nifty 500,Diversified
ABB.NS,Nifty 500,Capital Goods
ACC.NS,Nifty 500,Construction Materials
ACMESOLAR.NS,Nifty 500,Power
AIAENG.NS,Nifty 500,Capital Goods
APLAPOLLO.NS,Nifty 500,Capital Goods
AUBANK.NS,Nifty 500,Financial Services
AWL.NS,Nifty 500,Fast Moving Consumer Goods
AADHARHFC.NS,Nifty 500,Financial Services
AARTIIND.NS,Nifty 500,Chemicals
AAVAS.NS,Nifty 500,Financial Services
ABBOTINDIA.NS,Nifty 500,Healthcare
ACE.NS,Nifty 500,Capital Goods
ACUTAAS.NS,Nifty 500,Healthcare
ADANIENSOL.NS,Nifty 500,Power
ADANIENT.NS,Nifty 500,Metals & Mining
ADANIGREEN.NS,Nifty 500,Power
ADANIPORTS.NS,Nifty 500,Services
ADANIPOWER.NS,Nifty 500,Power
ATGL.NS,Nifty 500,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Nifty 500,Financial Services
ABFRL.NS,Nifty 500,Consumer Services
ABLBL.NS,Nifty 500,Consumer Services
ABREL.NS,Nifty 500,Realty
ABSLAMC.NS,Nifty 500,Financial Services
CPPLUS.NS,Nifty 500,Capital Goods
AEGISLOG.NS,Nifty 500,Oil Gas & Consumable Fuels
AEGISVOPAK.NS,Nifty 500,Oil Gas & Consumable Fuels
AFCONS.NS,Nifty 500,Construction
AFFLE.NS,Nifty 500,Information Technology
AJANTPHARM.NS,Nifty 500,Healthcare
ALKEM.NS,Nifty 500,Healthcare
ABDL.NS,Nifty 500,Fast Moving Consumer Goods
ARE&M.NS,Nifty 500,Automobile and Auto Components
AMBER.NS,Nifty 500,Consumer Durables
AMBUJACEM.NS,Nifty 500,Construction Materials
ANANDRATHI.NS,Nifty 500,Financial Services
ANANTRAJ.NS,Nifty 500,Realty
ANGELONE.NS,Nifty 500,Financial Services
ANTHEM.NS,Nifty 500,Healthcare
ANURAS.NS,Nifty 500,Chemicals
APARINDS.NS,Nifty 500,Capital Goods
APOLLOHOSP.NS,Nifty 500,Healthcare
APOLLOTYRE.NS,Nifty 500,Automobile and Auto Components
APTUS.NS,Nifty 500,Financial Services
ASAHIINDIA.NS,Nifty 500,Automobile and Auto Components
ASHOKLEY.NS,Nifty 500,Capital Goods
ASIANPAINT.NS,Nifty 500,Consumer Durables
ASTERDM.NS,Nifty 500,Healthcare
ASTRAL.NS,Nifty 500,Capital Goods
ATHERENERG.NS,Nifty 500,Automobile and Auto Components
ATUL.NS,Nifty 500,Chemicals
AUROPHARMA.NS,Nifty 500,Healthcare
AIIL.NS,Nifty 500,Financial Services
DMART.NS,Nifty 500,Consumer Services
AXISBANK.NS,Nifty 500,Financial Services
BEML.NS,Nifty 500,Capital Goods
BLS.NS,Nifty 500,Consumer Services
BSE.NS,Nifty 500,Financial Services
BAJAJ-AUTO.NS,Nifty 500,Automobile and Auto Components
BAJFINANCE.NS,Nifty 500,Financial Services
BAJAJFINSV.NS,Nifty 500,Financial Services
BAJAJHLDNG.NS,Nifty 500,Financial Services
BAJAJHFL.NS,Nifty 500,Financial Services
BALKRISIND.NS,Nifty 500,Automobile and Auto Components
BALRAMCHIN.NS,Nifty 500,Fast Moving Consumer Goods
BANDHANBNK.NS,Nifty 500,Financial Services
BANKBARODA.NS,Nifty 500,Financial Services
BANKINDIA.NS,Nifty 500,Financial Services
MAHABANK.NS,Nifty 500,Financial Services
BATAINDIA.NS,Nifty 500,Consumer Durables
BAYERCROP.NS,Nifty 500,Chemicals
BELRISE.NS,Nifty 500,Automobile and Auto Components
BERGEPAINT.NS,Nifty 500,Consumer Durables
BDL.NS,Nifty 500,Capital Goods
