Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,162.70,574.11,8.91,0.36,16.34,11.52,21.46,45.04,0.21,0.00,0.75,1.27
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1006.05,40859.52,34.75,1.47,20.57,19.36,39.89,6.25,-15.77,0.00,1.22,4.41
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1219.75,1046.88,18.23,0.00,19.40,27.29,44.03,41.28,2.85,0.00,0.32,3.53
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,31158.30,35115.40,107.17,0.06,23.85,9.96,16.80,75.00,0.00,0.00,0.51,21.82
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,299.00,1401.77,32.38,0.46,11.89,27.17,60.41,32.78,0.09,0.00,0.00,2.23
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,549.85,2533.60,,0.00,-1.47,-26.05,1.07,45.63,0.00,0.00,0.22,0.73
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,6602.00,139901.94,83.80,0.01,22.39,17.80,57.12,75.00,0.00,0.00,0.60,17.90
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,16.49,1053.38,51.83,0.29,17.30,26.73,39.88,30.95,-28.34,0.00,0.03,6.72
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,100.57,12274.74,69.46,2.67,9.78,,,46.60,,0.00,0.00,9.35
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1270.70,14193.20,,1.45,-2.45,-18.66,,50.21,0.00,0.00,0.16,3.74
